img,carpal,middle,right,left
10635.png,"[0.4263322884012539, 0.820754716981132]","[0.48275862068965514, 0.1721698113207547]","[0.9435736677115988, 0.5235849056603774]","[0.16927899686520376, 0.3466981132075472]"
10634.png,"[0.4492753623188406, 0.8121085594989562]","[0.5362318840579711, 0.2651356993736952]","[0.989648033126294, 0.5062630480167014]","[0.12215320910973086, 0.40396659707724425]"
10633.png,"[0.437847866419295, 0.8312925170068027]","[0.5602968460111317, 0.061224489795918366]","[0.9128014842300557, 0.3863945578231292]","[0.1614100185528757, 0.24489795918367346]"
10632.png,"[0.453525641025641, 0.7716049382716049]","[0.4519230769230769, 0.05432098765432099]","[0.9775641025641026, 0.43580246913580245]","[0.15544871794871795, 0.2333333333333333]"
10631.png,"[0.504, 0.7777777777777777]","[0.41200000000000003, 0.19498910675381265]","[0.9013333333333334, 0.48910675381263613]","[0.15733333333333333, 0.4019607843137255]"
10629.png,"[0.5464684014869888, 0.8381344307270233]","[0.5669144981412639, 0.06584362139917696]","[0.9516728624535316, 0.3525377229080933]","[0.1895910780669145, 0.2716049382716049]"
10628.png,"[0.4253333328993056, 0.8253381485726519]","[0.49733333333333335, 0.07749077490774908]","[0.9786666666666666, 0.6223862238622386]","[0.09866666666666667, 0.3284132841328413]"
10627.png,"[0.4509018036072144, 0.8977119784656797]","[0.468937875751503, 0.0067294751009421205]","[0.8857715430861723, 0.3243606998654105]","[0.11222444889779559, 0.21399730820995963]"
10626.png,"[0.43100511073253833, 0.7506361323155217]","[0.565587734241908, 0.05725190839694656]","[0.9352640545144805, 0.405852417302799]","[0.2708688245315162, 0.22264631043256997]"
10625.png,"[0.41935483870967744, 0.8216630196936542]","[0.5467741935483871, 0.13676148796498905]","[0.9838709677419355, 0.47374179431072205]","[0.07258064516129031, 0.29431072210065645]"
10624.png,"[0.41830065359477125, 0.9092356687898089]","[0.4934640522875817, 0.15286624203821655]","[0.8202614379084967, 0.5047770700636943]","[0.11764705882352942, 0.3678343949044586]"
10623.png,"[0.5125448028673835, 0.7403156384505022]","[0.38530465949820786, 0.02582496413199426]","[0.8781362007168458, 0.29555236728837875]","[0.09498207885304659, 0.25251076040172166]"
10621.png,"[0.45359281437125754, 0.7942942942942943]","[0.5209580838323353, 0.06606606606606608]","[0.8652694610778443, 0.45495495495495497]","[0.18562874251497008, 0.2927927927927928]"
10619.png,"[0.3894736842105263, 0.8871989860583017]","[0.531578947368421, 0.06970849176172371]","[0.9210526315789473, 0.4017743979721166]","[0.11578947368421053, 0.26489226869455007]"
10618.png,"[0.5093333333333333, 0.7787114845938374]","[0.504, 0.1134453781512605]","[0.9146666666666667, 0.530812324929972]","[0.252, 0.32773109243697474]"
10617.png,"[0.4672, 0.7601760176017602]","[0.4288, 0.0396039603960396]","[0.9024, 0.3575357535753575]","[0.096, 0.2596259625962596]"
10616.png,"[0.4706666666666667, 0.7826982492276003]","[0.49333333333333335, 0.15756951596292482]","[0.8653333333333333, 0.42327497425334704]","[0.16933333333333334, 0.3336766220391349]"
10615.png,"[0.48462929475587707, 0.6768377253814147]","[0.5406871609403255, 0.1608876560332871]","[0.91500904159132, 0.5117891816920943]","[0.2332730560578662, 0.2968099861303745]"
10614.png,"[0.48230088495575224, 0.78562874251497]","[0.5162241887905605, 0.1125748502994012]","[0.9616519174041298, 0.47904191616766467]","[0.12979351032448377, 0.332934131736527]"
10613.png,"[0.47324414715719065, 0.7478991596638656]","[0.43478260869565216, 0.11524609843937576]","[0.9448160535117057, 0.41416566626650664]","[0.11371237458193979, 0.32172869147659067]"
10612.png,"[0.46166394779771613, 0.6794554455445545]","[0.48613376835236544, 0.037128712871287134]","[0.9429037520391518, 0.36509900990099015]","[0.09135399673735727, 0.2834158415841584]"
10610.png,"[0.4293333333333333, 0.8449612403100776]","[0.48, 0.14728682170542634]","[0.94, 0.5426356589147286]","[0.24666666666666667, 0.3023255813953488]"
10609.png,"[0.3914473684210526, 0.759493670886076]","[0.48026315789473684, 0.07215189873417721]","[0.8601973684210527, 0.4012658227848101]","[0.1694078947368421, 0.2227848101265823]"
10608.png,"[0.4921739130434783, 0.7186147186147186]","[0.4904347826086956, 0.12121212121212122]","[0.9026086956521739, 0.4675324675324676]","[0.14782608695652175, 0.32323232323232326]"
10607.png,"[0.4264264264264264, 0.846938775510204]","[0.5165165165165165, 0.17346938775510204]","[0.8738738738738739, 0.47165532879818595]","[0.21021021021021022, 0.2981859410430839]"
10606.png,"[0.5311355311355311, 0.7542768273716952]","[0.4743589743589744, 0.06687402799377916]","[0.8717948717948718, 0.34370139968895796]","[0.24725274725274726, 0.25660964230171074]"
10605.png,"[0.4786821705426357, 0.7452054794520548]","[0.4844961240310077, 0.08219178082191782]","[0.8759689922480621, 0.37534246575342467]","[0.11046511627906977, 0.2780821917808219]"
10604.png,"[0.4983606557377049, 0.7995712754555199]","[0.5081967213114754, 0.06216505894962487]","[0.8491803278688524, 0.31725616291532693]","[0.16393442622950818, 0.25509110396570206]"
10603.png,"[0.5136436597110755, 0.8126760563380282]","[0.5056179775280899, 0.1056338028169014]","[0.9630818619582665, 0.47323943661971835]","[0.18780096308186195, 0.30704225352112674]"
10602.png,"[0.4642857142857143, 0.815035799522673]","[0.5178571428571428, 0.09307875894988067]","[0.875, 0.36873508353221957]","[0.16233766233766234, 0.25894988066825775]"
10600.png,"[0.4881889763779527, 0.8104667609618105]","[0.5551181102362205, 0.028288543140028287]","[0.9763779527559054, 0.34512022630834516]","[0.11220472440944881, 0.24045261669024046]"
10599.png,"[0.45625, 0.6677165354330709]","[0.41458333333333336, 0.03779527559055118]","[0.8229166666666667, 0.2913385826771654]","[0.13958333333333334, 0.20314960629921258]"
10598.png,"[0.4183123877917415, 0.8457446808510639]","[0.578096947935368, 0.050531914893617025]","[0.8599640933572711, 0.35505319148936176]","[0.20646319569120286, 0.21675531914893617]"
10597.png,"[0.5411522633744856, 0.7575757575757575]","[0.5061728395061729, 0.03484848484848485]","[0.9320987654320987, 0.3196969696969697]","[0.13168724279835392, 0.2727272727272727]"
10595.png,"[0.4908759124087591, 0.7046632124352331]","[0.509124087591241, 0.016839378238341963]","[0.9580291970802919, 0.2966321243523316]","[0.18613138686131386, 0.20077720207253885]"
10594.png,"[0.4786666666666667, 0.8234672304439746]","[0.5186666666666667, 0.045454545454545456]","[0.9279999999999999, 0.3372093023255814]","[0.17066666666666666, 0.24735729386892177]"
10592.png,"[0.4835680751173709, 0.7777777777777777]","[0.5618153364632238, 0.021223470661672898]","[0.8794992175273866, 0.36329588014981273]","[0.24256651017214398, 0.19975031210986266]"
10591.png,"[0.47785547785547783, 0.8321917808219177]","[0.40792540792540793, 0.05821917808219178]","[0.8717948717948718, 0.3698630136986301]","[0.12354312354312354, 0.3082191780821918]"
10590.png,"[0.3826247689463955, 0.75]","[0.5249537892791127, 0.056722689075630245]","[0.8872458410351202, 0.35504201680672265]","[0.2476894639556377, 0.19957983193277312]"
10589.png,"[0.4434108527131783, 0.8377028714107365]","[0.5255813953488372, 0.12359550561797754]","[0.951937984496124, 0.4719101123595506]","[0.16589147286821707, 0.3033707865168539]"
10588.png,"[0.5639412997903563, 0.6751269035532995]","[0.44025157232704404, 0.05752961082910321]","[0.909853249475891, 0.3130287648054146]","[0.1949685534591195, 0.2622673434856176]"
10586.png,"[0.45974955277280855, 0.7719498289623717]","[0.4937388193202147, 0.07183580387685291]","[0.9570661896243291, 0.3580387685290764]","[0.17173524150268335, 0.23945267958950966]"
10585.png,"[0.49857549857549854, 0.7881136950904393]","[0.48148148148148145, 0.059431524547803614]","[0.9715099715099715, 0.4276485788113695]","[0.23076923076923075, 0.2764857881136951]"
10584.png,"[0.43776824034334766, 0.7540208136234626]","[0.4921316165951359, 0.08987701040681173]","[0.9628040057224606, 0.3878902554399243]","[0.10729613733905578, 0.2620624408703879]"
10583.png,"[0.5141430948419301, 0.825635103926097]","[0.5158069883527454, 0.054272517321016164]","[0.9118136439267888, 0.3233256351039261]","[0.14808652246256238, 0.2655889145496536]"
10582.png,"[0.39333333333333337, 0.6820128479657387]","[0.5133333333333333, 0.046038543897216275]","[0.8866666666666667, 0.39400428265524623]","[0.2533333333333333, 0.17237687366167023]"
10581.png,"[0.41119999999999995, 0.6739811912225706]","[0.43200000000000005, 0.024033437826541267]","[0.9584, 0.3552769070010449]","[0.1344, 0.1839080459770115]"
10580.png,"[0.392, 0.8200782268578878]","[0.49733333333333335, 0.12516297262059972]","[0.872, 0.5514993481095176]","[0.204, 0.26988265971316816]"
10579.png,"[0.44460028050490885, 0.711731843575419]","[0.509116409537167, 0.0670391061452514]","[0.8835904628330996, 0.3754189944134078]","[0.16129032258064516, 0.2636871508379888]"
10578.png,"[0.5961538461538461, 0.7708703374777975]","[0.391025641025641, 0.10124333925399645]","[0.9358974358974359, 0.35701598579040855]","[0.15384615384615385, 0.33214920071047954]"
10577.png,"[0.3968804159445407, 0.792022792022792]","[0.45060658578856155, 0.08119658119658119]","[0.8804159445407279, 0.4230769230769231]","[0.1369150779896014, 0.2621082621082621]"
10576.png,"[0.48533333333333334, 0.7928902627511591]","[0.47200000000000003, 0.11282843894899536]","[0.8106666666666666, 0.44513137557959814]","[0.21066666666666667, 0.37557959814528596]"
10575.png,"[0.4881516587677725, 0.823915900131406]","[0.5039494470774092, 0.07621550591327202]","[0.9162717219589257, 0.39947437582128775]","[0.1627172195892575, 0.2890932982917214]"
10574.png,"[0.52, 0.6247240618101545]","[0.5, 0.08609271523178809]","[0.8293333333333334, 0.30242825607064017]","[0.27066666666666667, 0.24613686534216334]"
10573.png,"[0.40909090909090906, 0.7734877734877734]","[0.5227272727272727, 0.19433719433719435]","[0.8428030303030303, 0.45945945945945943]","[0.26325757575757575, 0.29343629343629346]"
10572.png,"[0.32460732984293195, 0.781637717121588]","[0.5654450261780104, 0.18982630272952852]","[0.9650959860383943, 0.6997518610421837]","[0.08202443280977313, 0.32754342431761785]"
10571.png,"[0.38977635782747605, 0.7229050279329609]","[0.3801916932907348, 0.08156424581005586]","[0.9488817891373802, 0.4212290502793296]","[0.03194888178913738, 0.27932960893854747]"
10570.png,"[0.4623493975903614, 0.6758793969849246]","[0.5316265060240964, 0.020100502512562807]","[0.9819277108433735, 0.4623115577889447]","[0.11144578313253012, 0.2550251256281407]"
10568.png,"[0.4813008130081301, 0.7335203366058906]","[0.5024390243902439, 0.03927068723702664]","[0.8926829268292683, 0.37307152875175315]","[0.21463414634146344, 0.2286115007012623]"
10567.png,"[0.45151033386327505, 0.736969696969697]","[0.4642289348171701, 0.06666666666666667]","[0.9650238473767885, 0.41575757575757577]","[0.12400635930047695, 0.26545454545454544]"
10566.png,"[0.37403400309119017, 0.820754716981132]","[0.4992272024729521, 0.1750524109014675]","[0.8624420401854713, 0.4675052410901468]","[0.17001545595054096, 0.3176100628930818]"
10564.png,"[0.47200000000000003, 0.7284234752589183]","[0.5386666666666666, 0.189873417721519]","[0.84, 0.5040276179516686]","[0.24933333333333332, 0.3406214039125432]"
10563.png,"[0.4340974212034384, 0.7787114845938374]","[0.501432664756447, 0.0784313725490196]","[0.8252148997134671, 0.453781512605042]","[0.1977077363896848, 0.27871148459383754]"
10562.png,"[0.44144144144144143, 0.7503628447024674]","[0.521021021021021, 0.04499274310595065]","[0.8948948948948948, 0.4455732946298984]","[0.24024024024024024, 0.21190130624092887]"
10561.png,"[0.47086614173228347, 0.8219749652294854]","[0.4692913385826772, 0.05006954102920723]","[0.862992125984252, 0.3880389429763561]","[0.1795275590551181, 0.24895688456189152]"
10559.png,"[0.4415584415584416, 0.7984496124031009]","[0.6378066378066378, 0.09205426356589147]","[0.8787878787878788, 0.3653100775193798]","[0.3246753246753247, 0.24612403100775193]"
10558.png,"[0.5487179487179487, 0.7340764331210191]","[0.4846153846153846, 0.07484076433121019]","[0.9538461538461539, 0.3519108280254777]","[0.06410256410256411, 0.2818471337579618]"
10556.png,"[0.3772357723577236, 0.7755856966707768]","[0.5073170731707317, 0.056720098643649804]","[0.951219512195122, 0.4562268803945746]","[0.14959349593495935, 0.21085080147965474]"
10555.png,"[0.49333333333333335, 0.7441601779755284]","[0.456, 0.16129032258064516]","[0.9146666666666667, 0.4961067853170189]","[0.17066666666666666, 0.37486095661846497]"
10554.png,"[0.46511627906976744, 0.7051744885679904]","[0.5187835420393561, 0.10469314079422382]","[0.8533094812164579, 0.31407942238267145]","[0.15026833631484796, 0.2611311672683514]"
10552.png,"[0.5102420856610801, 0.8432432432432432]","[0.5139664804469274, 0.07297297297297298]","[0.8864059590316573, 0.3216216216216216]","[0.148975791433892, 0.2702702702702703]"
10551.png,"[0.5066666666666666, 0.7675233644859812]","[0.42266666666666663, 0.07359813084112149]","[0.92, 0.4077102803738317]","[0.11333333333333334, 0.35046728971962615]"
10550.png,"[0.4453333333333333, 0.7997630331753554]","[0.5013333333333333, 0.09597156398104266]","[0.9706666666666667, 0.49763033175355453]","[0.16533333333333336, 0.2962085308056872]"
10548.png,"[0.48055987558320373, 0.8164642375168691]","[0.52099533437014, 0.04183535762483131]","[0.931570762052877, 0.39946018893387314]","[0.16174183514774496, 0.2483130904183536]"
10547.png,"[0.4447592067988668, 0.7146401985111663]","[0.41076487252124644, 0.02853598014888337]","[0.9093484419263456, 0.4305210918114144]","[0.0906515580736544, 0.2803970223325062]"
10545.png,"[0.5124282982791587, 0.8265625]","[0.5258126195028681, 0.0359375]","[0.9216061185468452, 0.34375]","[0.20267686424474188, 0.2390625]"
10544.png,"[0.4483306836248013, 0.7397119341563786]","[0.4737678855325914, 0.11934156378600823]","[0.9570747217806042, 0.4218106995884774]","[0.10174880763116058, 0.2890946502057613]"
10542.png,"[0.4694656488549618, 0.624390243902439]","[0.583969465648855, 0.05040650406504065]","[0.8549618320610687, 0.3626016260162601]","[0.37786259541984735, 0.14796747967479676]"
10540.png,"[0.39473684210526316, 0.7744154057771664]","[0.4144736842105263, 0.11004126547455297]","[0.8947368421052632, 0.5419532324621733]","[0.09703947368421054, 0.30398899587345257]"
10539.png,"[0.44869565217391305, 0.743436754176611]","[0.4904347826086956, 0.03937947494033412]","[0.92, 0.3198090692124105]","[0.0973913043478261, 0.23389021479713606]"
10538.png,"[0.524, 0.8649350649350649]","[0.5266666666666666, 0.14805194805194805]","[0.8386666666666666, 0.4454545454545455]","[0.25866666666666666, 0.3324675324675324]"
10537.png,"[0.5374149659863946, 0.6913183279742765]","[0.326530612244898, 0.06430868167202572]","[0.9170068027210884, 0.2958199356913183]","[0.04489795918367347, 0.3719185423365488]"
10536.png,"[0.436, 0.7763313609467456]","[0.46399999999999997, 0.07692307692307691]","[0.9133333333333333, 0.42958579881656805]","[0.14, 0.26982248520710056]"
10535.png,"[0.5035765379113019, 0.8436170212765957]","[0.4463519313304721, 0.05957446808510638]","[0.9198855507868383, 0.3021276595744681]","[0.07439198855507868, 0.2765957446808511]"
10534.png,"[0.6218809980806143, 0.6405325443786982]","[0.27063358844432506, 0.14349114696643986]","[0.9059500959692899, 0.3150887573964497]","[0.0690978886756238, 0.4068047337278107]"
10533.png,"[0.5139318885448916, 0.8783068783068784]","[0.42879256965944273, 0.08597883597883599]","[0.9520123839009288, 0.41402116402116407]","[0.10526315789473685, 0.328042328042328]"
10532.png,"[0.4893333333333333, 0.7222723174030657]","[0.52, 0.05410279531109107]","[0.9226666666666666, 0.32461677186654647]","[0.05733333333333333, 0.2768259693417493]"
10531.png,"[0.47412353923205347, 0.8277439024390244]","[0.47913188647746247, 0.04573170731707317]","[0.9282136894824708, 0.4253048780487805]","[0.16861437648460306, 0.3018293888512777]"
10530.png,"[0.5213675213675214, 0.8717948717948718]","[0.5113960113960114, 0.0708180708180708]","[0.9102564102564102, 0.391941391941392]","[0.18803418803418803, 0.29304029304029305]"
10529.png,"[0.46584938704028017, 0.864381520119225]","[0.4816112084063047, 0.06110283159463488]","[0.9387040280210158, 0.4247391952309985]","[0.17513134851138354, 0.30402384500745155]"
10528.png,"[0.41751824817518246, 0.8147699757869249]","[0.5197080291970803, 0.112590799031477]","[0.9240875912408759, 0.5181598062953995]","[0.14306569343065692, 0.31234866828087166]"
10527.png,"[0.5358255451713396, 0.8134920634920636]","[0.5654205607476636, 0.052910052910052914]","[0.9485981308411214, 0.38227513227513227]","[0.2071651090342679, 0.2552910052910053]"
10526.png,"[0.3891402714932126, 0.769620253164557]","[0.5279034690799397, 0.05822784810126582]","[0.923076923076923, 0.4443037974683544]","[0.23227752639517343, 0.20126582278481014]"
10525.png,"[0.5190058479532164, 0.7689243027888446]","[0.5102339181286549, 0.09694555112881806]","[0.7997076023391813, 0.3399734395750332]","[0.28216374269005845, 0.2656042496679947]"
10524.png,"[0.465863453815261, 0.8306451612903225]","[0.5060240963855421, 0.03629032258064516]","[0.9417670682730923, 0.34005376344086025]","[0.21285140562248997, 0.21908602150537637]"
10523.png,"[0.36142322097378277, 0.7782101167315174]","[0.4850187265917603, 0.07003891050583658]","[0.9419475655430712, 0.43320363164721143]","[0.08239700374531836, 0.24124513618677043]"
10522.png,"[0.4702970297029703, 0.9049034175334324]","[0.5033003300330033, 0.19316493313521543]","[0.9620462046204621, 0.6225854383358098]","[0.2277227722772277, 0.37295690936106984]"
10521.png,"[0.5212947189097104, 0.825944170771757]","[0.545144804088586, 0.03119868637110016]","[0.909710391822828, 0.3842364532019705]","[0.272572402044293, 0.22660098522167488]"
10520.png,"[0.4821763602251407, 0.6578599735799208]","[0.4915572232645403, 0.06605019815059446]","[0.9681050656660414, 0.404227212681638]","[0.14446529080675422, 0.2523117569352708]"
10519.png,"[0.44345238095238093, 0.7639046538024972]","[0.6324404761904762, 0.05107832009080591]","[0.9583333333333333, 0.41316685584562995]","[0.2574404761904762, 0.20204313280363223]"
10518.png,"[0.5396290050590219, 0.763013698630137]","[0.49915682967959524, 0.13561643835616438]","[0.9342327150084317, 0.4054794520547945]","[0.14165261382799327, 0.40821917808219177]"
10517.png,"[0.4523026315789474, 0.8469945355191257]","[0.5098684210526315, 0.04781420765027322]","[0.9473684210526316, 0.4180327868852459]","[0.1299342105263158, 0.2581967213114754]"
10514.png,"[0.40399999999999997, 0.7934508816120907]","[0.5173333333333333, 0.11083123425692695]","[0.8826666666666667, 0.5403022670025188]","[0.2733333333333333, 0.24433249370277077]"
10513.png,"[0.5417298937784522, 0.7693194925028836]","[0.45220030349013657, 0.049596309111880045]","[0.8892261001517451, 0.30680507497116494]","[0.1623672230652504, 0.2768166089965398]"
10512.png,"[0.541015625, 0.7047184170471842]","[0.478515625, 0.062404870624048696]","[0.8984375, 0.33942161339421617]","[0.189453125, 0.2663622526636225]"
10511.png,"[0.5493333333333333, 0.7980636237897649]","[0.4706666666666667, 0.03319502074688797]","[0.8640000000000001, 0.34716459197787]","[0.19866666666666666, 0.30013831258644535]"
10510.png,"[0.37767584097859325, 0.8372844827586207]","[0.5107033639143731, 0.11206896551724138]","[0.9327217125382263, 0.4504310344827587]","[0.12691131498470948, 0.25862068965517243]"
10509.png,"[0.5067064083457526, 0.8392405063291138]","[0.526080476900149, 0.15063291139240506]","[0.8748137108792846, 0.45949367088607596]","[0.21758569299552907, 0.3658227848101266]"
10508.png,"[0.3536585365853659, 0.7816826411075612]","[0.5015243902439025, 0.1075612353567625]","[0.8978658536585366, 0.4440894568690096]","[0.20884146341463414, 0.2321618743343983]"
10506.png,"[0.3293718166383701, 0.7920110192837465]","[0.4906621392190153, 0.08264462809917354]","[0.9252971137521223, 0.5275482093663912]","[0.11714770797962648, 0.24104683195592286]"
10505.png,"[0.4615384615384615, 0.7809867629362215]","[0.48, 0.08904933814681107]","[0.8384615384615384, 0.3622141997593261]","[0.16615384615384618, 0.27075812274368233]"
10504.png,"[0.36555360281195076, 0.7965653896961691]","[0.5430579964850615, 0.03698811096433289]","[0.9595782073813709, 0.4570673712021136]","[0.15289982425307558, 0.17833553500660504]"
10503.png,"[0.3623693379790941, 0.8577648766328012]","[0.5923344947735192, 0.07692307692307691]","[0.9843205574912892, 0.5094339622641509]","[0.20209059233449478, 0.22641509433962262]"
10502.png,"[0.5504885993485342, 0.759308510638298]","[0.4560260586319218, 0.10372340425531915]","[0.8338762214983713, 0.3191489361702128]","[0.2736156351791531, 0.2752659574468085]"
10501.png,"[0.5228571428571428, 0.7763157894736843]","[0.5128571428571429, 0.1013157894736842]","[0.79, 0.36973684210526314]","[0.29428571428571426, 0.2631578947368421]"
10500.png,"[0.33134328358208953, 0.7741496598639457]","[0.5522388059701493, 0.05170068027210885]","[0.953731343283582, 0.7129251700680272]","[0.08656716417910447, 0.2380952380952381]"
